2021/06/12 23:10:40 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: Version 2.13.20180731 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: java.version=11.0.11 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: os.name=Linux 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: os.arch=amd64 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: os.version=5.8.0-53-generic 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: user.dir  =/home/sergey/github/Diploma 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: PWD       =/home/sergey/github/Diploma 
2021/06/12 23:10:41 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: Lenovo FullName: Lenovo 
2021/06/12 23:10:41 INFO  - jmeter.services.FileServer: Default base='/home/sergey/github/Diploma' 
2021/06/12 23:10:41 INFO  - jmeter.services.FileServer: Set new base='/home/sergey/github/Diploma' 
2021/06/12 23:10:42 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2021/06/12 23:10:42 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2021/06/12 23:10:42 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2021/06/12 23:10:42 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2021/06/12 23:10:42 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2021/06/12 23:10:42 INFO  - jmeter.save.SaveService: Loading file: /home/sergey/github/Diploma/TEST_PLAN.jmx 
2021/06/12 23:10:42 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2021/06/12 23:10:42 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2021/06/12 23:10:42 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /usr/share/jmeter/bin/proxyserver.jks 
2021/06/12 23:10:42 INFO  - jmeter.JMeter: Creating summariser <summary> 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2021/06/12 23:10:42 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2021/06/12 23:10:42 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2021/06/12 23:10:42 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2021/06/12 23:10:42 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2021/06/12 23:10:42 INFO  - jmeter.JMeter: Running test (1623528642879) 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2021/06/12 23:10:42 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2021/06/12 23:10:42 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2021/06/12 23:10:42 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2021/06/12 23:10:42 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2021/06/12 23:10:42 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2021/06/12 23:10:42 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-1 
2021/06/12 23:10:42 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2021/06/12 23:10:42 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2021/06/12 23:10:42 INFO  - jmeter.reporters.Summariser: summary =      0 in     0s = ******/s Avg:     0 Min: 9223372036854775807 Max: -9223372036854775808 Err:     0 (0.00%) 
